400 g|Mehl
1|Ei(er), Größe M
|Wasser, lauwarmes
4 m.-große|Kartoffel(n)
1 Pck.|Quark, (Twarog) alternativ Schichtkäse mit Quark vermengt)
n. B.|Zwiebel(n), gewürfelt
250 g|Hackfleisch
1 Pck.|Sauerkraut
200 g|Champignons
|Salz und Pfeffer
|Paprikapulver, edelsüß
|Majoran, und/oder Oregano/Bohnenkraut
|Lorbeerblätter, optional
