4 EL|Öl
20 g|Ingwer, frisch, klein gehackt
2 Zehe/n|Knoblauch, gehackt
4|Zwiebel(n), rot, gehackt
2|Lorbeerblätter
1 TL|Currypulver
1 TL|Kurkumapulver
1 TL|Cayennepfeffer
750 g|Hähnchenbrustfilet(s), gewürfelt
200 g|Sahne
200 g|Schmand
5 EL|Kokoscreme oder Kokosmilch, aus der Dose
1 TL|Salz
1 Würfel|Hühnerbrühe, instant
2 EL|Koriandergrün, gehackt
